"ACCOUNT_NUMBER","CARD_NUMBER","ACCOUNT_TYPE","CARD_TYPE","CARD_PROGRAM","CARD_STATUS","DATE_OPENED"
"0014129811               ","521372******0359","checking","Debit","521372","Active","10/4/2022"
"0014181556               ","521372******8592","checking","Debit","521372","Active","3/8/2026"
"0014622252               ","521372******5403","checking","Debit","521372","Active","3/28/2024"
"0014786750               ","521372******7740","checking","Debit","521372","Active","5/7/2025"
"0014849186               ","521372******4922","checking","Debit","521372","Active","6/6/2024"
"0014956833               ","417763******7099","checking","Debit","417763","Active","11/7/2025"
"0016654980               ","521372******2588","checking","Debit","521372","Active","3/24/2024"
"0017354226               ","521372******1994","checking","Debit","521372","Active","4/13/2025"
"0018292425               ","521372******3030","checking","Debit","521372","Active","12/16/2018"
"0018401059               ","521372******6972","checking","Debit","521372","Active","5/11/2025"
"0018648261               ","521372******7830","checking","Debit","521372","Active","10/28/2025"
"0018709402               ","417763******6701","checking","Debit","417763","Active","12/25/2025"
"0018765743               ","521372******9095","checking","Debit","521372","Active","2/4/2026"
"0018808568               ","417763******3968","checking","Debit","417763","Active","11/14/2025"
"0019197771               ","521372******2932","checking","Debit","521372","Active","4/7/2025"
"0019456763               ","521372******2691","checking","Debit","521372","Active","4/2/2024"
"0019617745               ","521372******3813","checking","Debit","521372","Active","4/1/2024"
"0019720861               ","521372******8743","checking","Debit","521372","Active","11/22/2025"
"0019959386               ","521372******0263","checking","Debit","521372","Active","3/25/2024"
"0021154208               ","521372******7411","checking","Debit","521372","Active","1/15/2026"
"0021449350               ","521372******9515","checking","Debit","521372","Active","4/10/2024"
"0022045892               ","521372******5528","checking","Debit","521372","Active","2/13/2024"
"0022091391               ","521372******6286","checking","Debit","521372","Active","1/26/2024"
"0022273585               ","521372******9809","checking","Debit","521372","Active","1/8/2024"
"0022388151               ","521372******5613","checking","Debit","521372","Active","5/14/2024"
"0022493399               ","417763******2698","checking","Debit","417763","Active","2/23/2025"
"0022798961               ","521372******7428","checking","Debit","521372","Active","3/5/2025"
"0024158420               ","521372******1754","checking","Debit","521372","Active","1/6/2024"
"0024176760               ","521372******3085","checking","Debit","521372","Active","12/31/2023"
"0024498560               ","521372******8354","checking","Debit","521372","Active","3/30/2024"
"0024602567               ","521372******6445","checking","Debit","521372","Active","3/9/2024"
"0024671026               ","521372******6166","checking","Debit","521372","Active","10/7/2024"
"0025763699               ","521372******2499","checking","Debit","521372","Active","6/7/2025"
"0026067462               ","521372******3177","checking","Debit","521372","Active","3/23/2024"
"0026080267               ","417763******8142","checking","Debit","417763","Active","2/9/2025"
"0026119339               ","417763******6885","checking","Debit","417763","Active","12/24/2024"
"0026374199               ","521372******2122","checking","Debit","521372","Active","1/20/2024"
"0026741702               ","521372******8330","checking","Debit","521372","Active","8/27/2019"
"0026833327               ","521372******0690","checking","Debit","521372","Active","4/8/2019"
"0027225887               ","521372******6973","checking","Debit","521372","Active","11/13/2023"
"0027332303               ","521372******2870","checking","Debit","521372","Active","7/22/2025"
"0027524107               ","521372******7603","checking","Debit","521372","Active","4/15/2024"
"0027585116               ","521372******5182","checking","Debit","521372","Active","10/21/2025"
"0027605989               ","521372******4947","checking","Debit","521372","Active","4/5/2024"
"0027955343               ","521372******1166","checking","Debit","521372","Active","1/13/2024"
"0028235919               ","521372******9083","checking","Debit","521372","Active","3/24/2024"
"0028246684               ","521372******2270","checking","Debit","521372","Active","10/24/2024"
"0028341840               ","521372******2563","checking","Debit","521372","Active","5/29/2025"
"0028750446               ","521372******8673","checking","Debit","521372","Active","4/9/2024"
"0029112810               ","521372******0530","checking","Debit","521372","Active","1/31/2024"
"0029586963               ","417763******6695","checking","Debit","417763","Blocked","5/31/2025"
"0029596772               ","521372******2431","checking","Debit","521372","Blocked","10/14/2021"
"0029749348               ","521372******7494","checking","Debit","521372","Active","1/29/2024"
"0029840709               ","521372******2608","checking","Debit","521372","Active","3/16/2025"
"0030109599               ","521372******6694","checking","Debit","521372","Active","8/28/2025"
"0030153399               ","521372******2218","checking","Debit","521372","Active","4/10/2025"
"0030309041               ","521372******3757","checking","Debit","521372","Active","4/26/2024"
"0030464739               ","521372******2195","checking","Debit","521372","Active","2/21/2025"
"0030656664               ","521372******5607","checking","Debit","521372","Active","9/28/2025"
"0030931604               ","555696******0122","checking","Debit","555696","Active","2/18/2022"
"0031601081               ","417763******6262","checking","Debit","417763","Active","11/19/2024"
"0031606130               ","521372******1328","checking","Debit","521372","Active","10/25/2024"
"0031928757               ","521372******8865","checking","Debit","521372","Active","11/10/2025"
"0032088726               ","521372******1544","checking","Debit","521372","Blocked","10/7/2025"
"0032314262               ","521372******2013","checking","Debit","521372","Active","12/5/2019"
"0032422107               ","521372******5830","checking","Debit","521372","Active","8/13/2024"
"0032429490               ","521372******6391","checking","Debit","521372","Active","8/11/2024"
"0032438087               ","521372******2548","checking","Debit","521372","Active","1/25/2024"
"0032638355               ","521372******7702","checking","Debit","521372","Active","6/3/2025"
"0032667883               ","417763******8250","checking","Debit","417763","Blocked","8/17/2024"
"0032863334               ","521372******5969","checking","Debit","521372","Active","4/27/2025"
"0033209511               ","417763******9623","checking","Debit","417763","Active","12/11/2024"
"0033213398               ","521372******1459","checking","Debit","521372","Blocked","12/23/2024"
"0033378712               ","417763******4251","checking","Debit","417763","Active","5/16/2025"
"0033499179               ","521372******8583","checking","Debit","521372","Active","4/7/2024"
"0033520461               ","521372******2176","checking","Debit","521372","Active","8/3/2025"
"0033812256               ","417763******4199","checking","Debit","417763","Active","11/24/2024"
"0034065979               ","521372******4384","checking","Debit","521372","Active","7/1/2025"
"0034212746               ","521372******1599","checking","Debit","521372","Active","3/2/2024"
"0034246355               ","521372******6649","checking","Debit","521372","Active","5/20/2024"
"0034328435               ","417763******3169","checking","Debit","417763","Active","6/13/2025"
"0035690254               ","521372******4663","checking","Debit","521372","Active","5/4/2024"
"0035696814               ","521372******1424","checking","Debit","521372","Active","3/13/2025"
"0036215408               ","521372******5399","checking","Debit","521372","Active","11/3/2024"
"0036458669               ","521372******6439","checking","Debit","521372","Active","1/9/2026"
"0036600997               ","521372******5318","checking","Debit","521372","Active","11/25/2018"
"0037005436               ","521372******1299","checking","Debit","521372","Active","6/27/2024"
"0037412095               ","521372******7517","checking","Debit","521372","Active","11/14/2024"
"0037602851               ","521372******6205","checking","Debit","521372","Active","4/11/2024"
"0037873247               ","521372******9776","checking","Debit","521372","Active","8/25/2021"
"0037909645               ","417763******2167","checking","Debit","417763","Active","9/12/2024"
"0038024691               ","417763******7315","checking","Debit","417763","Active","2/24/2025"
"0038069944               ","521372******3684","checking","Debit","521372","Active","1/16/2026"
"0038106258               ","521372******4121","checking","Debit","521372","Active","5/27/2025"
"0038278297               ","521372******0884","checking","Debit","521372","Active","5/1/2020"
"0038421624               ","521372******9821","checking","Debit","521372","Active","5/20/2025"
"0038456885               ","417763******5278","checking","Debit","417763","Active","2/16/2025"
"0038507976               ","521372******1203","checking","Debit","521372","Active","4/24/2024"
"0038596904               ","521372******5120","checking","Debit","521372","Active","11/8/2025"
"0039015888               ","521372******4582","checking","Debit","521372","Active","11/27/2025"
"0039029509               ","521372******0814","checking","Debit","521372","Active","10/26/2025"
"0039054218               ","521372******9540","checking","Debit","521372","Active","2/9/2026"
"0039440888               ","521372******4528","checking","Debit","521372","Active","3/4/2025"
"0039726575               ","417763******1403","checking","Debit","417763","Active","12/28/2024"
"0040571846               ","417763******9043","checking","Debit","417763","Active","2/13/2025"
"0041127655               ","521372******7947","checking","Debit","521372","Active","3/29/2024"
"0041627894               ","521372******2533","checking","Debit","521372","Active","6/29/2025"
"0042136663               ","521372******2987","checking","Debit","521372","Active","1/23/2024"
"0042281402               ","521372******5257","checking","Debit","521372","Active","1/20/2024"
"0042382556               ","521372******0767","checking","Debit","521372","Active","5/18/2024"
"0042414037               ","417763******1966","checking","Debit","417763","Active","12/27/2025"
"0042466177               ","521372******5728","checking","Debit","521372","Active","3/8/2025"
"0042515791               ","521372******8014","checking","Debit","521372","Active","1/4/2026"
"0042523134               ","521372******7125","checking","Debit","521372","Active","4/6/2025"
"0042602896               ","417763******9512","checking","Debit","417763","Active","9/12/2024"
"0042878629               ","521372******6021","checking","Debit","521372","Active","3/2/2024"
"0043207661               ","521372******1894","checking","Debit","521372","Active","11/9/2025"
"0043243922               ","521372******9468","checking","Debit","521372","Active","5/7/2018"
"0043501295               ","521372******7104","checking","Debit","521372","Active","10/1/2022"
"0043946953               ","521372******1454","checking","Debit","521372","Active","1/15/2024"
"0044030799               ","521372******9693","checking","Debit","521372","Active","4/20/2020"
"0044138543               ","521372******1067","checking","Debit","521372","Active","1/16/2024"
"0044304194               ","521372******4788","checking","Debit","521372","Active","3/17/2024"
"0044338184               ","521372******8762","checking","Debit","521372","Active","11/7/2024"
"0044506400               ","521372******2029","checking","Debit","521372","Active","8/13/2021"
"0044794428               ","417763******6764","checking","Debit","417763","Active","1/31/2025"
"0045151511               ","521372******2901","checking","Debit","521372","Active","6/20/2024"
"0045592367               ","417763******8900","checking","Debit","417763","Active","9/4/2024"
"0045738796               ","521372******4093","checking","Debit","521372","Active","2/4/2024"
"0045891629               ","521372******2463","checking","Debit","521372","Active","2/5/2024"
"0045902947               ","417763******5333","checking","Debit","417763","Active","2/22/2025"
"0046308706               ","521372******9578","checking","Debit","521372","Blocked","1/2/2024"
"0046327680               ","521372******1662","checking","Debit","521372","Active","7/3/2023"
"0046708335               ","521372******2456","checking","Debit","521372","Blocked","9/25/2025"
"0046900502               ","521372******7712","checking","Debit","521372","Active","11/17/2025"
"0047086566               ","521372******5729","checking","Debit","521372","Active","11/1/2025"
"0047570619               ","417763******9643","checking","Debit","417763","Active","4/18/2025"
"0047849732               ","417763******2549","checking","Debit","417763","Active","12/27/2025"
"0047958194               ","521372******4336","checking","Debit","521372","Active","3/5/2025"
"0049002058               ","521372******6878","checking","Debit","521372","Active","11/6/2025"
"0050038389               ","521372******3356","checking","Debit","521372","Active","3/19/2025"
"0050152016               ","521372******0166","checking","Debit","521372","Active","5/13/2024"
"0050352699               ","521372******6578","checking","Debit","521372","Active","8/15/2022"
"0050522028               ","521372******7946","checking","Debit","521372","Active","8/6/2024"
"0050673557               ","417763******6435","checking","Debit","417763","Active","12/18/2025"
"0051192284               ","521372******9412","checking","Debit","521372","Active","7/9/2025"
"0052091659               ","521372******9353","checking","Debit","521372","Active","6/19/2024"
"0052196110               ","521372******4582","checking","Debit","521372","Active","4/5/2024"
"0052500402               ","521372******5143","checking","Debit","521372","Active","4/30/2024"
"0052605581               ","521372******0773","checking","Debit","521372","Active","8/31/2025"
"0052696184               ","521372******3478","checking","Debit","521372","Active","11/16/2025"
"0053463402               ","521372******1356","checking","Debit","521372","Active","11/6/2025"
"0053557278               ","417763******6128","checking","Debit","417763","Active","1/7/2025"
"0053575627               ","521372******2854","checking","Debit","521372","Active","7/27/2025"
"0053715181               ","521372******7896","checking","Debit","521372","Active","5/20/2020"
"0053905980               ","521372******7592","checking","Debit","521372","Active","9/3/2025"
"0054012265               ","521372******2633","checking","Debit","521372","Active","1/20/2022"
"0054449376               ","521372******5458","checking","Debit","521372","Active","4/21/2024"
"0055028807               ","521372******3402","checking","Debit","521372","Active","6/24/2025"
"0055367692               ","521372******4073","checking","Debit","521372","Active","3/28/2018"
"0055584411               ","521372******3831","checking","Debit","521372","Active","1/31/2024"
"0055858492               ","521372******1833","checking","Debit","521372","Active","12/28/2023"
"0055903983               ","521372******4680","checking","Debit","521372","Active","10/22/2025"
"0056102684               ","417763******7333","checking","Debit","417763","Active","8/15/2024"
"0057066995               ","417763******9140","checking","Debit","417763","Active","12/14/2024"
"0057567851               ","521372******9599","checking","Debit","521372","Active","1/6/2026"
"0057717449               ","521372******8653","checking","Debit","521372","Active","12/20/2018"
"0058220898               ","521372******9935","checking","Debit","521372","Active","3/24/2024"
"0058641739               ","521372******7458","checking","Debit","521372","Active","3/26/2024"
"0058795014               ","521372******3763","checking","Debit","521372","Active","11/23/2025"
"0059479972               ","521372******6396","checking","Debit","521372","Active","7/7/2025"
"0060417987               ","521372******5142","checking","Debit","521372","Active","5/19/2024"
"0060582871               ","521372******6950","checking","Debit","521372","Active","6/30/2024"
"0060731106               ","521372******6440","checking","Debit","521372","Active","11/19/2025"
"0061148110               ","521372******8642","checking","Debit","521372","Active","2/3/2025"
"0061376182               ","521372******1245","checking","Debit","521372","Active","1/10/2026"
"0061974697               ","521372******9337","checking","Debit","521372","Active","3/20/2025"
"0062354014               ","521372******6689","checking","Debit","521372","Active","3/3/2025"
"0062537576               ","521372******4438","checking","Debit","521372","Active","10/7/2022"
"0062779210               ","521372******7964","checking","Debit","521372","Active","11/18/2025"
"0063258636               ","521372******8256","checking","Debit","521372","Active","3/15/2024"
"0063340525               ","417763******3981","checking","Debit","417763","Active","6/2/2026"
"0063493266               ","521372******0346","checking","Debit","521372","Active","10/2/2024"
"0063524508               ","521372******9542","checking","Debit","521372","Active","4/4/2024"
"0063569156               ","521372******6451","checking","Debit","521372","Active","6/10/2025"
"0063776892               ","521372******0456","checking","Debit","521372","Active","3/5/2025"
"0064032923               ","417763******9438","checking","Debit","417763","Active","11/29/2024"
"0064128895               ","521372******7512","checking","Debit","521372","Active","1/29/2024"
"0064331770               ","521372******7200","checking","Debit","521372","Active","10/9/2023"
"0065043341               ","521372******9330","checking","Debit","521372","Active","7/21/2025"
"0065069882               ","521372******7757","checking","Debit","521372","Active","6/1/2025"
"0065229031               ","521372******0280","checking","Debit","521372","Active","12/31/2019"
"0065649337               ","521372******4886","checking","Debit","521372","Active","9/4/2025"
"0065866022               ","417763******8273","checking","Debit","417763","Active","7/26/2025"
"0065925885               ","521372******7370","checking","Debit","521372","Active","4/17/2024"
"0067053124               ","521372******6568","checking","Debit","521372","Active","4/30/2021"
"0067295162               ","417763******1066","checking","Debit","417763","Active","9/5/2025"
"0067744888               ","417763******0317","checking","Debit","417763","Active","12/3/2024"
"0067757948               ","521372******6283","checking","Debit","521372","Active","10/15/2024"
"0068443845               ","417763******4290","checking","Debit","417763","Active","3/8/2025"
"0068491083               ","417763******1965","checking","Debit","417763","Active","8/2/2025"
"0068670561               ","521372******6306","checking","Debit","521372","Active","1/7/2024"
"0068793306               ","521372******0726","checking","Debit","521372","Active","3/21/2024"
"0068833805               ","555696******2115","checking","Debit","555696","Active","9/15/2020"
"0069046134               ","521372******1306","checking","Debit","521372","Active","12/23/2020"
"0069260560               ","521372******1967","checking","Debit","521372","Active","9/1/2025"
"0069351054               ","521372******1991","checking","Debit","521372","Active","4/18/2025"
"0069479921               ","521372******5818","checking","Debit","521372","Active","3/19/2024"
"0069505717               ","521372******8743","checking","Debit","521372","Active","4/29/2024"
"0069569705               ","521372******3880","checking","Debit","521372","Active","10/11/2024"
"0070220405               ","521372******0587","checking","Debit","521372","Active","5/13/2024"
"0070270186               ","417763******3619","checking","Debit","417763","Active","11/21/2024"
"0070360953               ","521372******3261","checking","Debit","521372","Active","7/29/2019"
"0070444203               ","521372******0398","checking","Debit","521372","Active","8/31/2021"
"0070817267               ","521372******8430","checking","Debit","521372","Active","4/23/2024"
"0070836184               ","521372******4307","checking","Debit","521372","Active","3/29/2024"
"0071014567               ","521372******6473","checking","Debit","521372","Active","4/6/2025"
"0071089049               ","521372******3241","checking","Debit","521372","Active","6/19/2024"
"0071103923               ","521372******1510","checking","Debit","521372","Active","11/10/2025"
"0071216634               ","521372******9611","checking","Debit","521372","Active","8/26/2025"
"0071692404               ","521372******9090","checking","Debit","521372","Active","11/1/2024"
"0071812382               ","417763******6623","checking","Debit","417763","Active","8/30/2025"
"0071945794               ","521372******7106","checking","Debit","521372","Active","3/9/2025"
"0072571656               ","521372******9689","checking","Debit","521372","Active","1/12/2024"
"0073076788               ","521372******3742","checking","Debit","521372","Active","3/24/2024"
"0073576068               ","521372******0143","checking","Debit","521372","Active","10/1/2025"
"0073585846               ","521372******5867","checking","Debit","521372","Active","1/21/2024"
"0073593014               ","521372******9967","checking","Debit","521372","Active","11/28/2025"
"0073760787               ","417763******4719","checking","Debit","417763","Active","1/5/2025"
"0073838039               ","521372******6428","checking","Debit","521372","Active","1/3/2024"
"0073910861               ","521372******9415","checking","Debit","521372","Active","10/24/2018"
"0073933590               ","521372******4867","checking","Debit","521372","Active","3/26/2025"
"0073960692               ","521372******9423","checking","Debit","521372","Active","5/14/2024"
"0074011073               ","521372******5012","checking","Debit","521372","Active","6/5/2024"
"0074030404               ","521372******4261","checking","Debit","521372","Active","1/1/2024"
"0074032376               ","417763******0291","checking","Debit","417763","Active","8/30/2024"
"0074033945               ","521372******7980","checking","Debit","521372","Active","1/8/2024"
"0074139593               ","521372******5301","checking","Debit","521372","Active","11/30/2020"
"0074203332               ","417763******8283","checking","Debit","417763","Active","5/2/2025"
"0074689688               ","521372******6811","checking","Debit","521372","Active","1/6/2024"
"0076117720               ","521372******1022","checking","Debit","521372","Active","9/15/2025"
"0076166768               ","417763******1082","checking","Debit","417763","Active","11/6/2025"
"0076211424               ","417763******7296","checking","Debit","417763","Active","11/8/2025"
"0076722719               ","521372******5817","checking","Debit","521372","Active","6/25/2024"
"0077121325               ","417763******7775","checking","Debit","417763","Active","6/5/2026"
"0077803260               ","521372******4862","checking","Debit","521372","Active","11/4/2025"
"0077877124               ","417763******0018","checking","Debit","417763","Active","3/21/2025"
"0078445137               ","521372******5689","checking","Debit","521372","Active","12/22/2024"
"0078938065               ","521372******1103","checking","Debit","521372","Active","11/26/2025"
"0079058384               ","521372******5001","checking","Debit","521372","Active","7/20/2018"
"0079065421               ","521372******1285","checking","Debit","521372","Active","10/15/2024"
"0079374385               ","521372******9886","checking","Debit","521372","Active","8/2/2024"
"0079568960               ","417763******4262","checking","Debit","417763","Active","2/2/2025"
"0079679338               ","417763******2401","checking","Debit","417763","Active","5/1/2025"
"0079763280               ","521372******1720","checking","Debit","521372","Active","7/31/2025"
"0079823498               ","521372******1780","checking","Debit","521372","Active","8/6/2025"
"0079865549               ","521372******8730","checking","Debit","521372","Active","11/3/2022"
"0080443385               ","521372******0837","checking","Debit","521372","Active","8/17/2025"
"0080556566               ","521372******8058","checking","Debit","521372","Active","1/15/2024"
"0080794928               ","521372******6439","checking","Debit","521372","Active","4/17/2019"
"0080946791               ","521372******1877","checking","Debit","521372","Active","6/30/2024"
"0081584518               ","417763******5296","checking","Debit","417763","Active","10/24/2025"
"0081624819               ","521372******1912","checking","Debit","521372","Active","5/2/2025"
"0081683211               ","521372******6936","checking","Debit","521372","Active","9/4/2018"
"0081743668               ","521372******3095","checking","Debit","521372","Active","1/13/2024"
"0082026113               ","521372******6012","checking","Debit","521372","Active","2/17/2024"
"0082784745               ","521372******0337","checking","Debit","521372","Active","1/20/2024"
"0083426692               ","521372******8424","checking","Debit","521372","Active","10/28/2023"
"0083445122               ","521372******3575","checking","Debit","521372","Active","1/10/2024"
"0083470179               ","521372******5293","checking","Debit","521372","Active","5/19/2025"
"0083746065               ","521372******7911","checking","Debit","521372","Active","11/8/2024"
"0084260512               ","521372******1317","checking","Debit","521372","Active","7/29/2025"
"0084418193               ","521372******7777","checking","Debit","521372","Active","3/22/2024"
"0084561737               ","521372******6585","checking","Debit","521372","Active","5/27/2025"
"0084679414               ","521372******0379","checking","Debit","521372","Active","2/25/2024"
"0085204709               ","521372******6877","checking","Debit","521372","Active","7/2/2018"
"0085389609               ","417763******8522","checking","Debit","417763","Active","7/17/2024"
"0085442341               ","417763******5932","checking","Debit","417763","Active","1/10/2025"
"0086081643               ","521372******1387","checking","Debit","521372","Active","5/5/2025"
"0086230885               ","521372******1748","checking","Debit","521372","Active","6/1/2025"
"0086647427               ","521372******0547","checking","Debit","521372","Active","10/17/2024"
"0086697331               ","521372******2592","checking","Debit","521372","Active","2/22/2024"
"0086698008               ","521372******9293","checking","Debit","521372","Active","7/27/2025"
"0086859220               ","521372******5229","checking","Debit","521372","Active","3/11/2025"
"0087068516               ","417763******1541","checking","Debit","417763","Active","10/24/2025"
"0087575510               ","521372******0457","checking","Debit","521372","Active","10/24/2019"
"0087812228               ","521372******5176","checking","Debit","521372","Active","4/2/2024"
"0087982278               ","521372******7437","checking","Debit","521372","Active","8/29/2025"
"0088040902               ","521372******0447","checking","Debit","521372","Blocked","12/16/2018"
"0088242409               ","521372******0331","checking","Debit","521372","Active","3/26/2025"
"0088359245               ","521372******0110","checking","Debit","521372","Active","1/15/2020"
"0088443130               ","521372******8852","checking","Debit","521372","Active","3/15/2026"
"0088818356               ","521372******7276","checking","Debit","521372","Active","9/8/2025"
"0088920954               ","521372******8802","checking","Debit","521372","Active","1/1/2024"
"0089036149               ","521372******0129","checking","Debit","521372","Active","8/21/2021"
"0089483358               ","521372******3156","checking","Debit","521372","Active","7/15/2020"
"0089561229               ","417763******2753","checking","Debit","417763","Active","8/29/2024"
"0089684260               ","521372******8546","checking","Debit","521372","Active","9/26/2018"
"0089810840               ","521372******4232","checking","Debit","521372","Active","3/30/2024"
"0089814461               ","521372******2370","checking","Debit","521372","Active","5/2/2024"
"0089874481               ","417763******7461","checking","Debit","417763","Active","12/23/2024"
"0090141284               ","521372******1974","checking","Debit","521372","Active","12/21/2025"
"0090281734               ","521372******5885","checking","Debit","521372","Active","6/10/2024"
"0090287160               ","521372******0244","checking","Debit","521372","Active","11/28/2025"
"0090612565               ","521372******4905","checking","Debit","521372","Active","4/13/2025"
"0090821711               ","521372******3382","checking","Debit","521372","Active","6/17/2025"
"0090897885               ","417763******7309","checking","Debit","417763","Active","3/27/2025"
"0091101410               ","521372******3753","checking","Debit","521372","Active","11/11/2024"
"0091408013               ","521372******2341","checking","Debit","521372","Blocked","11/30/2023"
"0091920876               ","521372******2070","checking","Debit","521372","Active","8/15/2020"
"0091950501               ","417763******6297","checking","Debit","417763","Active","9/6/2024"
"0092839513               ","521372******3352","checking","Debit","521372","Active","10/20/2025"
"0093134872               ","417763******6674","checking","Debit","417763","Active","8/15/2025"
"0093279057               ","521372******9218","checking","Debit","521372","Active","1/30/2026"
"0093634657               ","521372******1965","checking","Debit","521372","Active","1/5/2026"
"0093656353               ","521372******4217","checking","Debit","521372","Active","10/9/2024"
"0093827095               ","417763******1339","checking","Debit","417763","Active","7/3/2025"
"0093976850               ","521372******8979","checking","Debit","521372","Active","1/6/2024"
"0094070760               ","417763******0653","checking","Debit","417763","Active","12/19/2025"
"0094422771               ","521372******6764","checking","Debit","521372","Active","7/20/2019"
"0094487246               ","417763******7136","checking","Debit","417763","Active","5/22/2025"
"0094664976               ","521372******4391","checking","Debit","521372","Active","2/27/2024"
"0094754231               ","521372******1476","checking","Debit","521372","Active","7/8/2025"
"0095312328               ","521372******6857","checking","Debit","521372","Active","12/11/2025"
"0095350641               ","521372******9296","checking","Debit","521372","Active","10/17/2019"
"0095368296               ","521372******2979","checking","Debit","521372","Active","1/7/2024"
"0095467031               ","521372******7757","checking","Debit","521372","Active","10/31/2020"
"0095792461               ","521372******2851","checking","Debit","521372","Active","12/9/2025"
"0095877056               ","521372******9227","checking","Debit","521372","Active","5/24/2024"
"0096136916               ","417763******2956","checking","Debit","417763","Active","8/25/2024"
"0097213243               ","521372******0106","checking","Debit","521372","Active","1/5/2026"
"0097247928               ","521372******9643","checking","Debit","521372","Active","9/4/2025"
"0098200348               ","555696******4197","checking","Debit","555696","Active","2/18/2022"
"0098681851               ","521372******6439","checking","Debit","521372","Active","1/1/2020"
"0099079493               ","521372******4616","checking","Debit","521372","Blocked","5/21/2025"
"0099085490               ","521372******2833","checking","Debit","521372","Active","11/28/2025"
"0099290363               ","417763******3958","checking","Debit","417763","Active","10/10/2025"
"0099818981               ","521372******5021","checking","Debit","521372","Active","12/29/2025"
"0099823346               ","521372******7753","checking","Debit","521372","Active","1/24/2020"
